name,link
stackoverflow,https://stackoverflow.com/
geek for geeks,https://www.geeksforgeeks.org/
quora,https://www.quora.com/
learn x in y minutes,https://learnxinyminutes.com/
hackerrank,https://www.hackerrank.com/
